,COUNTYFP20,VAP,APAMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,APAMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
0,015,873,22,69,551,851,873,1.0,0.025200458190148912,0.9747995418098511,253,0.07903780068728522,0.6311569301260023,0.2898052691867125
1,015,131,11,8,63,120,131,1.0,0.08396946564885496,0.916030534351145,60,0.061068702290076333,0.48091603053435117,0.4580152671755725
2,015,144,7,13,84,137,144,1.0,0.04861111111111111,0.9513888888888888,47,0.09027777777777778,0.5833333333333334,0.3263888888888889
3,015,1086,89,119,564,997,1086,1.0,0.08195211786372007,0.91804788213628,403,0.10957642725598526,0.5193370165745856,0.3710865561694291
4,015,19,1,3,15,18,19,1.0,0.05263157894736842,0.9473684210526315,1,0.15789473684210525,0.7894736842105263,0.05263157894736842
5,015,176,5,24,61,171,176,1.0,0.028409090909090908,0.9715909090909091,91,0.13636363636363635,0.3465909090909091,0.5170454545454546
6,015,924,118,144,387,806,924,1.0,0.1277056277056277,0.8722943722943723,393,0.15584415584415584,0.41883116883116883,0.4253246753246753
7,015,244,18,36,132,226,244,1.0,0.07377049180327869,0.9262295081967213,76,0.14754098360655737,0.5409836065573771,0.3114754098360656
8,015,683,40,76,323,643,683,1.0,0.05856515373352855,0.9414348462664714,284,0.11127379209370425,0.47291361639824303,0.4158125915080527
10,003,7,0,0,0,7,7,1.0,0.0,1.0,7,0.0,0.0,1.0
11,003,860,19,267,185,841,860,1.0,0.022093023255813953,0.977906976744186,408,0.31046511627906975,0.21511627906976744,0.4744186046511628
12,003,1599,46,428,234,1553,1599,1.0,0.028767979987492184,0.9712320200125079,937,0.267667292057536,0.14634146341463414,0.5859912445278299
13,003,2777,90,843,459,2687,2777,1.0,0.03240907454087144,0.9675909254591285,1475,0.30356499819949584,0.16528628015844438,0.5311487216420597
14,003,660,29,203,167,631,660,1.0,0.04393939393939394,0.956060606060606,290,0.30757575757575756,0.25303030303030305,0.4393939393939394
15,003,1526,36,518,502,1490,1526,1.0,0.023591087811271297,0.9764089121887287,506,0.3394495412844037,0.3289646133682831,0.3315858453473132
16,003,1462,6,560,730,1456,1462,1.0,0.004103967168262654,0.9958960328317373,172,0.38303693570451436,0.4993160054719562,0.11764705882352941
17,003,1010,15,324,169,995,1010,1.0,0.01485148514851485,0.9851485148514851,517,0.3207920792079208,0.16732673267326734,0.5118811881188119
19,003,1834,57,535,432,1777,1834,1.0,0.031079607415485277,0.9689203925845147,867,0.29171210468920394,0.23555070883315157,0.4727371864776445
20,003,1442,38,377,738,1404,1442,1.0,0.026352288488210817,0.9736477115117892,327,0.26144244105409153,0.5117891816920943,0.22676837725381416
21,003,1555,18,474,685,1537,1555,1.0,0.01157556270096463,0.9884244372990354,396,0.3048231511254019,0.4405144694533762,0.2546623794212219
22,003,714,19,82,461,695,714,1.0,0.02661064425770308,0.9733893557422969,171,0.11484593837535013,0.6456582633053222,0.23949579831932774
23,003,2027,39,586,480,1988,2027,1.0,0.019240256536753823,0.9807597434632461,961,0.28909718796250616,0.23680315737543167,0.47409965466206216
24,003,1164,23,196,83,1141,1164,1.0,0.019759450171821305,0.9802405498281787,885,0.16838487972508592,0.07130584192439862,0.7603092783505154
25,003,1930,37,655,516,1893,1930,1.0,0.01917098445595855,0.9808290155440414,759,0.3393782383419689,0.26735751295336785,0.3932642487046632
26,003,2260,65,480,686,2195,2260,1.0,0.028761061946902654,0.9712389380530974,1094,0.21238938053097345,0.3035398230088496,0.484070796460177
27,003,1599,39,516,656,1560,1599,1.0,0.024390243902439025,0.975609756097561,427,0.3227016885553471,0.41025641025641024,0.26704190118824267
28,003,1260,25,542,238,1235,1260,1.0,0.01984126984126984,0.9801587301587301,480,0.4301587301587302,0.18888888888888888,0.38095238095238093
29,003,1286,42,418,537,1244,1286,1.0,0.03265940902021773,0.9673405909797823,331,0.3250388802488336,0.4175738724727838,0.2573872472783826
30,003,30,4,0,0,26,30,1.0,0.13333333333333333,0.8666666666666667,30,0.0,0.0,1.0
31,003,2813,105,839,566,2708,2813,1.0,0.03732669747600426,0.9626733025239957,1408,0.2982580874511198,0.2012086740135087,0.5005332385353715
32,003,380,5,72,49,375,380,1.0,0.013157894736842105,0.9868421052631579,259,0.18947368421052632,0.12894736842105264,0.6815789473684211
33,003,2447,67,784,894,2380,2447,1.0,0.027380465876583573,0.9726195341234164,769,0.32039231712300775,0.3653453208009808,0.31426236207601144
34,003,3000,45,1110,1136,2955,3000,1.0,0.015,0.985,754,0.37,0.37866666666666665,0.25133333333333335
35,003,1233,46,396,274,1187,1233,1.0,0.0373073803730738,0.9626926196269262,563,0.32116788321167883,0.2222222222222222,0.45660989456609896
36,003,1753,38,550,453,1715,1753,1.0,0.02167712492869367,0.9783228750713063,750,0.3137478608100399,0.25841414717626926,0.4278379920136908
