,COUNTYFP20,VAP,AMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,AMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
0,015,873,6,69,551,867,873,1.0,0.006872852233676976,0.993127147766323,253,0.07903780068728522,0.6311569301260023,0.2898052691867125
1,015,131,7,8,63,124,131,1.0,0.05343511450381679,0.9465648854961832,60,0.061068702290076333,0.48091603053435117,0.4580152671755725
2,015,144,4,13,84,140,144,1.0,0.027777777777777776,0.9722222222222222,47,0.09027777777777778,0.5833333333333334,0.3263888888888889
3,015,1086,71,119,564,1015,1086,1.0,0.06537753222836096,0.934622467771639,403,0.10957642725598526,0.5193370165745856,0.3710865561694291
4,015,19,0,3,15,19,19,1.0,0.0,1.0,1,0.15789473684210525,0.7894736842105263,0.05263157894736842
5,015,176,1,24,61,175,176,1.0,0.005681818181818182,0.9943181818181818,91,0.13636363636363635,0.3465909090909091,0.5170454545454546
6,015,924,88,144,387,836,924,1.0,0.09523809523809523,0.9047619047619048,393,0.15584415584415584,0.41883116883116883,0.4253246753246753
7,015,244,12,36,132,232,244,1.0,0.04918032786885246,0.9508196721311475,76,0.14754098360655737,0.5409836065573771,0.3114754098360656
8,015,683,20,76,323,663,683,1.0,0.029282576866764276,0.9707174231332357,284,0.11127379209370425,0.47291361639824303,0.4158125915080527
10,003,7,0,0,0,7,7,1.0,0.0,1.0,7,0.0,0.0,1.0
11,003,860,14,267,185,846,860,1.0,0.01627906976744186,0.9837209302325581,408,0.31046511627906975,0.21511627906976744,0.4744186046511628
12,003,1599,12,428,234,1587,1599,1.0,0.0075046904315197,0.9924953095684803,937,0.267667292057536,0.14634146341463414,0.5859912445278299
13,003,2777,53,843,459,2724,2777,1.0,0.019085343896290963,0.9809146561037091,1475,0.30356499819949584,0.16528628015844438,0.5311487216420597
14,003,660,5,203,167,655,660,1.0,0.007575757575757576,0.9924242424242424,290,0.30757575757575756,0.25303030303030305,0.4393939393939394
15,003,1526,10,518,502,1516,1526,1.0,0.00655307994757536,0.9934469200524246,506,0.3394495412844037,0.3289646133682831,0.3315858453473132
16,003,1462,1,560,730,1461,1462,1.0,0.0006839945280437756,0.9993160054719562,172,0.38303693570451436,0.4993160054719562,0.11764705882352941
17,003,1010,7,324,169,1003,1010,1.0,0.006930693069306931,0.9930693069306931,517,0.3207920792079208,0.16732673267326734,0.5118811881188119
19,003,1834,29,535,432,1805,1834,1.0,0.015812431842966195,0.9841875681570338,867,0.29171210468920394,0.23555070883315157,0.4727371864776445
20,003,1442,8,377,738,1434,1442,1.0,0.005547850208044383,0.9944521497919556,327,0.26144244105409153,0.5117891816920943,0.22676837725381416
21,003,1555,3,474,685,1552,1555,1.0,0.0019292604501607716,0.9980707395498393,396,0.3048231511254019,0.4405144694533762,0.2546623794212219
22,003,714,9,82,461,705,714,1.0,0.012605042016806723,0.9873949579831933,171,0.11484593837535013,0.6456582633053222,0.23949579831932774
23,003,2027,18,586,480,2009,2027,1.0,0.008880118401578688,0.9911198815984213,961,0.28909718796250616,0.23680315737543167,0.47409965466206216
24,003,1164,7,196,83,1157,1164,1.0,0.006013745704467354,0.9939862542955327,885,0.16838487972508592,0.07130584192439862,0.7603092783505154
25,003,1930,8,655,516,1922,1930,1.0,0.004145077720207254,0.9958549222797928,759,0.3393782383419689,0.26735751295336785,0.3932642487046632
26,003,2260,34,480,686,2226,2260,1.0,0.01504424778761062,0.9849557522123894,1094,0.21238938053097345,0.3035398230088496,0.484070796460177
27,003,1599,9,516,656,1590,1599,1.0,0.005628517823639775,0.9943714821763602,427,0.3227016885553471,0.41025641025641024,0.26704190118824267
28,003,1260,12,542,238,1248,1260,1.0,0.009523809523809525,0.9904761904761905,480,0.4301587301587302,0.18888888888888888,0.38095238095238093
29,003,1286,19,418,537,1267,1286,1.0,0.014774494556765163,0.9852255054432348,331,0.3250388802488336,0.4175738724727838,0.2573872472783826
30,003,30,2,0,0,28,30,1.0,0.06666666666666667,0.9333333333333333,30,0.0,0.0,1.0
31,003,2813,49,839,566,2764,2813,1.0,0.01741912548880199,0.982580874511198,1408,0.2982580874511198,0.2012086740135087,0.5005332385353715
32,003,380,1,72,49,379,380,1.0,0.002631578947368421,0.9973684210526316,259,0.18947368421052632,0.12894736842105264,0.6815789473684211
33,003,2447,26,784,894,2421,2447,1.0,0.010625255414793625,0.9893747445852064,769,0.32039231712300775,0.3653453208009808,0.31426236207601144
34,003,3000,8,1110,1136,2992,3000,1.0,0.0026666666666666666,0.9973333333333333,754,0.37,0.37866666666666665,0.25133333333333335
35,003,1233,15,396,274,1218,1233,1.0,0.012165450121654502,0.9878345498783455,563,0.32116788321167883,0.2222222222222222,0.45660989456609896
36,003,1753,8,550,453,1745,1753,1.0,0.004563605248146035,0.995436394751854,750,0.3137478608100399,0.25841414717626926,0.4278379920136908
37,003,2659,33,511,460,2626,2659,1.0,0.01241068070703272,0.9875893192929672,1688,0.19217751034223393,0.17299736743136518,0.6348251222264009
38,003,1281,12,432,546,1269,1281,1.0,0.00936768149882904,0.990632318501171,303,0.3372365339578454,0.4262295081967213,0.23653395784543327
39,003,1473,13,447,318,1460,1473,1.0,0.008825526137135099,0.991174473862865,708,0.3034623217922607,0.2158859470468432,0.48065173116089616
40,003,2662,35,811,509,2627,2662,1.0,0.01314800901577761,0.9868519909842224,1342,0.3046581517655898,0.19120961682945153,0.5041322314049587
