race,PRES20D,PRES20R,PRES20Turnout
APAMINVAP,0.1862 (0.0983-0.3376),0.8138 (0.6624-0.9017),0.008 (0.0029-0.0191)
OVAP,0.5052 (0.5047-0.5056),0.4948 (0.4944-0.4953),0.6077 (0.6073-0.608)
