race,PRES20D,PRES20R,PRES20Turnout
AMINVAP,0.7287 (0.5982-0.8375),0.2713 (0.1625-0.4018),0.0111 (0.0058-0.0207)
OVAP,0.5055 (0.5051-0.5059),0.4945 (0.4941-0.4949),0.5989 (0.5986-0.5992)
