race,PRES20D,PRES20R,PRES20None
AMINVAP,0.0081 (0.0045-0.0169),0.003 (0.0012-0.007),0.9889 (0.9793-0.9942)
OVAP,0.3027 (0.3024-0.3031),0.2962 (0.2959-0.2965),0.4011 (0.4008-0.4014)
