race,PRES20D,PRES20R,PRES20None
APAMINVAP,0.0014 (0.0006-0.0033),0.0066 (0.0021-0.0161),0.992 (0.9809-0.9971)
OVAP,0.307 (0.3067-0.3073),0.3007 (0.3004-0.301),0.3923 (0.392-0.3927)
