race,PRES20D,PRES20R,PRES20None
AMINVAP,0.5473 (0.5426-0.5525),0.1003 (0.0976-0.1031),0.3524 (0.3478-0.3568)
OVAP,0.289 (0.2885-0.2894),0.3012 (0.3008-0.3016),0.4098 (0.4094-0.4102)
