,COUNTY,VAP,APAMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,APAMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
30,Appling,1433,27,116,870,1406,1433,1.0,0.01884159106769016,0.9811584089323099,447,0.08094905792044661,0.6071179344033496,0.31193300767620374
31,Appling,1192,10,44,594,1182,1192,1.0,0.008389261744966443,0.9916107382550335,554,0.03691275167785235,0.4983221476510067,0.46476510067114096
32,Appling,2639,23,908,531,2616,2639,1.0,0.008715422508525956,0.991284577491474,1200,0.3440697233800682,0.20121258052292534,0.45471769609700646
33,Appling,865,20,20,587,845,865,1.0,0.023121387283236993,0.976878612716763,258,0.023121387283236993,0.6786127167630058,0.29826589595375724
34,Appling,1920,43,288,843,1877,1920,1.0,0.022395833333333334,0.9776041666666667,789,0.15,0.4390625,0.4109375
35,Appling,990,8,23,647,982,990,1.0,0.00808080808080808,0.9919191919191919,320,0.023232323232323233,0.6535353535353535,0.32323232323232326
36,Appling,1880,15,130,1048,1865,1880,1.0,0.007978723404255319,0.9920212765957447,702,0.06914893617021277,0.5574468085106383,0.37340425531914895
37,Appling,1624,24,118,697,1600,1624,1.0,0.014778325123152709,0.9852216748768473,809,0.07266009852216748,0.4291871921182266,0.4981527093596059
38,Appling,1415,26,132,709,1389,1415,1.0,0.018374558303886925,0.9816254416961131,574,0.09328621908127209,0.5010600706713781,0.4056537102473498
39,Atkinson,973,25,45,479,948,973,1.0,0.025693730729701953,0.9743062692702981,449,0.046248715313463515,0.49229188078108943,0.4614594039054471
40,Atkinson,1316,23,329,229,1293,1316,1.0,0.017477203647416412,0.9825227963525835,758,0.25,0.17401215805471124,0.5759878419452887
41,Atkinson,2289,59,160,1026,2230,2289,1.0,0.025775447793796417,0.9742245522062036,1103,0.06989951944080385,0.44823066841415465,0.4818698121450415
42,Atkinson,1551,33,291,566,1518,1551,1.0,0.02127659574468085,0.9787234042553191,694,0.18762088974854932,0.3649258542875564,0.44745325596389424
43,Bacon,8310,106,625,4018,8204,8310,1.0,0.012755716004813478,0.9872442839951865,3667,0.07521058965102287,0.4835138387484958,0.44127557160048136
44,Baker,186,10,31,93,176,186,1.0,0.053763440860215055,0.946236559139785,62,0.16666666666666666,0.5,0.3333333333333333
45,Baker,388,4,148,141,384,388,1.0,0.010309278350515464,0.9896907216494846,99,0.38144329896907214,0.3634020618556701,0.2551546391752577
46,Baker,327,3,111,120,324,327,1.0,0.009174311926605505,0.9908256880733946,96,0.3394495412844037,0.3669724770642202,0.29357798165137616
47,Baker,286,2,69,137,284,286,1.0,0.006993006993006993,0.993006993006993,80,0.24125874125874125,0.479020979020979,0.27972027972027974
48,Baker,1088,10,293,406,1078,1088,1.0,0.009191176470588236,0.9908088235294118,389,0.2693014705882353,0.37316176470588236,0.35753676470588236
49,Baldwin,1325,17,547,134,1308,1325,1.0,0.012830188679245283,0.9871698113207548,644,0.41283018867924526,0.10113207547169811,0.48603773584905663
50,Baldwin,3295,9,331,153,3286,3295,1.0,0.002731411229135053,0.997268588770865,2811,0.10045523520485584,0.0464339908952959,0.8531107738998482
51,Baldwin,1682,14,320,784,1668,1682,1.0,0.008323424494649227,0.9916765755053508,578,0.1902497027348395,0.4661117717003567,0.3436385255648038
52,Baldwin,2953,34,169,113,2919,2953,1.0,0.011513714866237725,0.9884862851337622,2671,0.05722993565865222,0.038266169996613614,0.9045038943447342
53,Baldwin,4077,58,1159,1581,4019,4077,1.0,0.014226146676477803,0.9857738533235222,1337,0.2842776551385823,0.387785136129507,0.32793720873191073
54,Baldwin,1545,15,520,140,1530,1545,1.0,0.009708737864077669,0.9902912621359223,885,0.3365695792880259,0.09061488673139159,0.5728155339805825
55,Baldwin,1383,9,711,212,1374,1383,1.0,0.006507592190889371,0.9934924078091106,460,0.5140997830802603,0.15328994938539406,0.33261026753434564
56,Baldwin,2926,35,831,1366,2891,2926,1.0,0.011961722488038277,0.9880382775119617,729,0.28400546821599454,0.46684894053315107,0.24914559125085442
57,Baldwin,3929,41,810,1891,3888,3929,1.0,0.010435225248154746,0.9895647747518452,1228,0.2061593280733011,0.48129294986001525,0.31254772206668363
58,Baldwin,2567,18,859,793,2549,2567,1.0,0.007012076353720296,0.9929879236462797,915,0.3346318659914297,0.3089209193611219,0.3564472146474484
59,Baldwin,1354,17,275,426,1337,1354,1.0,0.012555391432791729,0.9874446085672083,653,0.20310192023633677,0.31462333825701627,0.48227474150664695
60,Baldwin,3058,37,583,179,3021,3058,1.0,0.01209941137998692,0.9879005886200131,2296,0.1906474820143885,0.05853499018966645,0.750817527795945
61,Baldwin,2208,16,604,731,2192,2208,1.0,0.007246376811594203,0.9927536231884058,873,0.27355072463768115,0.33106884057971014,0.3953804347826087
62,Baldwin,3420,39,1421,400,3381,3420,1.0,0.011403508771929825,0.9885964912280701,1599,0.4154970760233918,0.11695906432748537,0.4675438596491228
63,Banks,1628,35,100,901,1593,1628,1.0,0.0214987714987715,0.9785012285012284,627,0.06142506142506143,0.5534398034398035,0.38513513513513514
64,Banks,951,16,103,528,935,951,1.0,0.016824395373291272,0.9831756046267087,320,0.10830704521556257,0.555205047318612,0.33648790746582546
65,Banks,425,12,29,266,413,425,1.0,0.02823529411764706,0.971764705882353,130,0.06823529411764706,0.6258823529411764,0.3058823529411765
66,Banks,894,17,42,468,877,894,1.0,0.01901565995525727,0.9809843400447428,384,0.04697986577181208,0.5234899328859061,0.42953020134228187
