race,PRES20D,PRES20R,PRES20Turnout
APAMINVAP,0.8423 (0.8378-0.8469),0.1577 (0.1531-0.1622),0.6436 (0.639-0.6478)
OVAP,0.4831 (0.4825-0.4837),0.5169 (0.5163-0.5175),0.5893 (0.5889-0.5898)
