race,PRES20D,PRES20R,PRES20Turnout
AMINVAP,0.8451 (0.841-0.8494),0.1549 (0.1506-0.159),0.6476 (0.6432-0.6522)
OVAP,0.4896 (0.489-0.4902),0.5104 (0.5098-0.511),0.5902 (0.5898-0.5906)
