race,PRES20D,PRES20R,PRES20Turnout
AMINVAP,0.878 (0.8549-0.9169),0.122 (0.0831-0.1451),0.2234 (0.2115-0.241)
OVAP,0.5158 (0.5149-0.5167),0.4842 (0.4833-0.4851),0.5731 (0.5724-0.5737)
