race,PRES20D,PRES20R,PRES20Turnout
APAMINVAP,0.8564 (0.8258-0.8822),0.1436 (0.1178-0.1742),0.2093 (0.1942-0.2236)
OVAP,0.5138 (0.5128-0.5147),0.4862 (0.4853-0.4872),0.58 (0.5792-0.5809)
