race,PRES20D,PRES20R,PRES20None
APAMINVAP,0.1792 (0.1669-0.1963),0.0301 (0.0249-0.0375),0.7907 (0.7764-0.8058)
OVAP,0.298 (0.2972-0.2987),0.282 (0.2814-0.2826),0.42 (0.4191-0.4208)
