race,PRES20D,PRES20R,PRES20None
AMINVAP,0.1962 (0.1821-0.2116),0.0272 (0.0187-0.0322),0.7766 (0.759-0.7885)
OVAP,0.2956 (0.295-0.2962),0.2775 (0.2769-0.278),0.4269 (0.4263-0.4276)
